        CDN2  CDN4  CHR5  CMP1  CTLO  EMBP  EMIR  HORT  IRAN  JPL6  MNCP  MNQI  PDAQ  PNT8  RDCK  RPDE  TMB7  TRM3  ZF29  INPA  NAUS
CDN2     0.0   5.2   7.9  11.4  16.7  18.8  35.8  10.2  30.3   5.2  77.7  68.2  13.8   9.4   6.7  58.8  79.2  10.7  56.7   4.6  10.4
CDN4     5.2   0.0  10.5  11.4  21.6  15.4  35.8  14.9  27.9   8.6  75.8  67.9  11.3   7.7   7.0  58.2  75.2   5.7  51.7   7.9   6.1
CHR5     7.9  10.5   0.0   5.8  13.4  25.8  28.6  14.4  25.7  12.4  71.6  60.9  11.0   7.4  14.5  66.6  76.4  13.6  61.0   3.3  12.0
CMP1    11.4  11.4   5.8   0.0  18.6  26.3  24.6  19.8  20.0  16.5  66.5  56.9   5.9   4.4  17.4  69.4  70.7  11.8  58.1   7.8   9.7
CTLO    16.7  21.6  13.4  18.6   0.0  35.0  34.8  13.2  37.1  17.5  79.6  65.3  24.3  20.9  21.6  68.9  88.6  26.2  73.3  14.2  25.0
EMBP    18.8  15.4  25.8  26.3  35.0   0.0  49.5  24.0  38.3  17.8  85.8  80.9  24.1  22.1  13.4  45.6  78.4  15.3  41.0  22.9  17.5
EMIR    35.8  35.8  28.6  24.6  34.8  49.5   0.0  42.6  16.4  40.8  44.8  32.3  25.4  28.1  42.0  93.9  60.3  34.2  71.7  31.7  32.0
HORT    10.2  14.9  14.4  19.8  13.2  24.0  42.6   0.0  39.7   6.9  86.0  74.5  23.5  19.2  11.0  55.9  89.3  20.6  64.4  12.0  20.6
IRAN    30.3  27.9  25.7  20.0  37.1  38.3  16.4  39.7   0.0  35.5  48.0  43.3  16.7  20.9  35.0  84.0  51.6  24.1  55.5  27.6  22.4
JPL6     5.2   8.6  12.4  16.5  17.5  17.8  40.8   6.9  35.5   0.0  82.9  73.2  18.8  14.5   4.3  54.4  83.8  14.3  57.7   9.2  14.6
MNCP    77.7  75.8  71.6  66.5  79.6  85.8  44.8  86.0  48.0  82.9   0.0  23.9  64.5  68.5  82.8 131.3  39.0  72.1  89.3  74.2  70.4
MNQI    68.2  67.9  60.9  56.9  65.3  80.9  32.3  74.5  43.3  73.2  23.9   0.0  57.0  60.2  74.3 125.9  58.7  65.7  95.2  64.0  63.7
PDAQ    13.8  11.3  11.0   5.9  24.3  24.1  25.4  23.5  16.7  18.8  64.5  57.0   0.0   4.4  18.3  68.9  65.9   8.8  52.8  11.8   6.7
PNT8     9.4   7.7   7.4   4.4  20.9  22.1  28.1  19.2  20.9  14.5  68.5  60.2   4.4   0.0  14.4  65.8  70.3   7.4  54.1   7.6   5.3
RDCK     6.7   7.0  14.5  17.4  21.6  13.4  42.0  11.0  35.0   4.3  82.8  74.3  18.3  14.4   0.0  52.2  81.8  12.0  53.4  11.2  12.9
RPDE    58.8  58.2  66.6  69.4  68.9  45.6  93.9  55.9  84.0  54.4 131.3 125.9  68.9  65.8  52.2   0.0 119.6  60.3  63.4  63.3  62.3
TMB7    79.2  75.2  76.4  70.7  88.6  78.4  60.3  89.3  51.6  83.8  39.0  58.7  65.9  70.3  81.8 119.6   0.0  69.8  63.7  77.7  69.2
TRM3    10.7   5.7  13.6  11.8  26.2  15.3  34.2  20.6  24.1  14.3  72.1  65.7   8.8   7.4  12.0  60.3  69.8   0.0  47.4  12.0   2.2
ZF29    56.7  51.7  61.0  58.1  73.3  41.0  71.7  64.4  55.5  57.7  89.3  95.2  52.8  54.1  53.4  63.4  63.7  47.4   0.0  59.3  49.0
INPA     4.6   7.9   3.3   7.8  14.2  22.9  31.7  12.0  27.6   9.2  74.2  64.0  11.8   7.6  11.2  63.3  77.7  12.0  59.3   0.0  10.9
NAUS    10.4   6.1  12.0   9.7  25.0  17.5  32.0  20.6  22.4  14.6  70.4  63.7   6.7   5.3  12.9  62.3  69.2   2.2  49.0  10.9   0.0
